"wd_id","status","variable","value_old","value_new"
"Q1201857","MODvalue","name_en","Yazoo River","Yazoo"
"Q1201857","MODvalue","name_nl","Yazoo River","Yazoo"
"Q8054249","MODvalue","name_en","Yockanookany River","Yockanookany"
"Q1042217","MODvalue","name_en","Big Black River","Big Black"
"Q2599098","MODvalue","name_de","Yalobusha River","Yalobusha"
"Q2599098","MODvalue","name_en","Yalobusha River","Yalobusha"
"Q2599098","MODvalue","name_fr","Yalobusha River","Yalobusha"
"Q2599098","MODvalue","name_nl","Yalobusha River","Yalobusha"
"Q5681137","MODvalue","name_en","Hatchie River","Hatchie"
"Q5364109","MODvalue","name_en","Elk River","Elk"
"Q5364109","MODvalue","name_pl","Elk River","Elk"
"Q652618","MODvalue","name_de","Duck River","Duck"
"Q652618","MODvalue","name_en","Duck River","Duck"
"Q652618","MODvalue","name_pl","Duck River","Duck"
"Q206710","MODvalue","name_de","Powell River","Powell"
"Q206710","MODvalue","name_en","Powell River","Powell"
"Q2054792","MODvalue","name_en","Pamunkey River","Pamunkey"
"Q2054792","MODvalue","name_fr","Pamunkey River","Pamunkey"
"Q2054792","MODvalue","name_it","Pamunkey River","Pamunkey"
"Q1333499","MODvalue","name_de","Rappahannock River","Rappahannock"
"Q1333499","MODvalue","name_en","Rappahannock River","Rappahannock"
"Q1333499","MODvalue","name_pl","Rappahannock River","Rappahannock"
"Q1470734","MODvalue","name_de","Youghiogheny River","Youghiogheny"
"Q1470734","MODvalue","name_en","Youghiogheny River","Youghiogheny"
"Q1470734","MODvalue","name_fr","Youghiogheny River","Youghiogheny"
"Q1470734","MODvalue","name_nl","Youghiogheny River","Youghiogheny"
"Q1124709","MODvalue","name_de","Conemaugh River","Conemaugh"
"Q1124709","MODvalue","name_en","Conemaugh River","Conemaugh"
"Q1124709","MODvalue","name_nl","Conemaugh River","Conemaugh"
"Q1931858","MODvalue","name_de","Middle Fork Holston River","Middle Fork Holston"
"Q1101503","MODvalue","name_de","Clinch River","Clinch"
"Q1101503","MODvalue","name_en","Clinch River","Clinch"
"Q1101503","MODvalue","name_nl","Clinch River","Clinch"
"Q7568327","MODvalue","name_en","South River","South"
"Q7056518","MODvalue","name_en","North River","North"
"Q5019586","MODvalue","name_en","Calfpasture River","Calfpasture"
"Q5019586","MODvalue","name_nl","Calfpasture River","Calfpasture"
"Q6117354","MODvalue","name_en","Jackson River","Jackson"
"Q6117354","MODvalue","name_nl","Jackson River","Jackson"
"Q1544689","MODvalue","name_de","Greenbrier River","Greenbrier"
"Q1544689","MODvalue","name_en","Greenbrier River","Greenbrier"
"Q1544689","MODvalue","name_fr","Greenbrier River","Greenbrier"
"Q1544689","MODvalue","name_nl","Greenbrier River","Greenbrier"
"Q5364110","MODvalue","name_de","Elk River","Elk"
"Q5364110","MODvalue","name_en","Elk River","Elk"
"Q671902","MODvalue","name_de","Little Kanawha River","Little Kanawha"
"Q671902","MODvalue","name_en","Little Kanawha River","Little Kanawha"
"Q671902","MODvalue","name_sv","Little Kanawha River","Little Kanawha"
"Q2340104","MODvalue","name_de","Guyandotte River","Guyandotte"
"Q2340104","MODvalue","name_en","Guyandotte River","Guyandotte"
"Q2340104","MODvalue","name_pl","Guyandotte River","Guyandotte"
"Q606566","MODvalue","name_en","Licking River","Licking"
"Q606566","MODvalue","name_pl","Licking River","Licking"
"Q1544647","MODvalue","name_de","Green River","Green"
"Q1544647","MODvalue","name_en","Green River","Green"
"Q1544647","MODvalue","name_pl","Green River","Green"
"Q745070","MODvalue","name_en","Salt River","Salt"
"Q745070","MODvalue","name_pl","Salt River","Salt"
"Q4905160","MODvalue","name_en","Big Blue River","Big Blue"
"Q4905160","MODvalue","name_nl","Big Blue River","Big Blue"
"Q2126786","MODvalue","name_de","White River","White"
"Q2126786","MODvalue","name_en","White River","White"
"Q2126786","MODvalue","name_fr","White River","White"
"Q2126786","MODvalue","name_nl","White River","White"
"Q2126786","MODvalue","name_pl","White River","White"
"Q246570","MODvalue","name_de","Great Miami River","Great Miami"
"Q246570","MODvalue","name_en","Great Miami River","Great Miami"
"Q246570","MODvalue","name_nl","Great Miami River","Great Miami"
"Q246570","MODvalue","name_sv","Great Miami River","Great Miami"
"Q5015966","MODvalue","name_en","Cache River","Cache"
"Q1108022","MODvalue","name_de","Saint Francis River","Saint Francis"
"Q1108022","MODvalue","name_en","St. Francis River","St. Francis"
"Q1108022","MODvalue","name_nl","St. Francis River","St. Francis"
"Q1108022","MODvalue","name_pl","Saint Francis River","Saint Francis"
"Q1108022","MODvalue","name_de","Saint Francis River","Saint Francis"
"Q1108022","MODvalue","name_en","St. Francis River","St. Francis"
"Q1108022","MODvalue","name_nl","St. Francis River","St. Francis"
"Q1108022","MODvalue","name_pl","Saint Francis River","Saint Francis"
"Q1921090","MODvalue","name_de","Meramec River","Meramec"
"Q1921090","MODvalue","name_en","Meramec River","Meramec"
"Q1921090","MODvalue","name_nl","Meramec River","Meramec"
"Q6652407","MODvalue","name_de","Little Wabash River","Little Wabash"
"Q6652407","MODvalue","name_en","Little Wabash River","Little Wabash"
"Q1334957","MODvalue","name_de","Embarras River","Embarras"
"Q1334957","MODvalue","name_en","Embarras River","Embarras"
"Q1807373","MODvalue","name_de","Sangamon River","Sangamon"
"Q1807373","MODvalue","name_en","Sangamon River","Sangamon"
"Q1807373","MODvalue","name_nl","Sangamon River","Sangamon"
"Q3966983","MODvalue","name_en","Spoon River","Spoon"
"Q3966983","MODvalue","name_nl","Spoon River","Spoon"
"Q3695896","MODvalue","name_en","Chariton River","Chariton"
"Q750839","MODvalue","name_de","Platte River","Platte"
"Q750839","MODvalue","name_en","Platte River","Platte"
"Q5595036","MODvalue","name_de","Grand River","Grand"
"Q5595036","MODvalue","name_en","Grand River","Grand"
"Q7795771","MODvalue","name_de","Thompson River","Thompson"
"Q7795771","MODvalue","name_en","Thompson River","Thompson"
"Q1681774","MODvalue","name_de","Turkey River","Turkey"
"Q1681774","MODvalue","name_en","Turkey River","Turkey"
"Q2548910","MODvalue","name_de","Wapsipinicon River","Wapsipinicon"
"Q2548910","MODvalue","name_en","Wapsipinicon River","Wapsipinicon"
"Q2548910","MODvalue","name_nl","Wapsipinicon River","Wapsipinicon"
"Q492787","MODvalue","name_de","Des Moines River","Des Moines"
"Q492787","MODvalue","name_en","Des Moines River","Des Moines"
"Q492787","MODvalue","name_nl","Des Moines River","Des Moines"
"Q492787","MODvalue","name_pl","Des Moines River","Des Moines"
"Q492787","MODvalue","name_sv","Des Moines River","Des Moines"
"Q492787","MODvalue","name_de","Des Moines River","Des Moines"
"Q492787","MODvalue","name_en","Des Moines River","Des Moines"
"Q492787","MODvalue","name_nl","Des Moines River","Des Moines"
"Q492787","MODvalue","name_pl","Des Moines River","Des Moines"
"Q492787","MODvalue","name_sv","Des Moines River","Des Moines"
"Q2712738","MODvalue","name_de","Boyer River","Boyer"
"Q2712738","MODvalue","name_en","Boyer River","Boyer"
"Q2712738","MODvalue","name_de","Boyer River","Boyer"
"Q2712738","MODvalue","name_en","Boyer River","Boyer"
"Q1646498","MODvalue","name_de","Little Sioux River","Little Sioux"
"Q1646498","MODvalue","name_en","Little Sioux River","Little Sioux"
"Q1430371","MODvalue","name_de","Floyd River","Floyd"
"Q1430371","MODvalue","name_en","Floyd River","Floyd"
"Q1430371","MODvalue","name_fr","Floyd River","Floyd"
"Q1430371","MODvalue","name_nl","Floyd River","Floyd"
"Q3569503","MODvalue","name_en","Withlacoochee River","Withlacoochee"
"Q3373802","MODvalue","name_en","Peace River","Peace"
"Q3373802","MODvalue","name_fr","Peace River","Peace"
"Q3373802","MODvalue","name_nl","Peace River","Peace"
"Q1552614","MODvalue","name_de","Guadalupe River","Guadalupe"
"Q1552614","MODvalue","name_en","Guadalupe River","Guadalupe"
"Q1552614","MODvalue","name_fr","Guadalupe River","Guadalupe"
"Q1468723","MODvalue","name_de","Nueces River","Nueces"
"Q1468723","MODvalue","name_en","Nueces River","Nueces"
"Q1468723","MODvalue","name_nl","Nueces River","Nueces"
"Q1552614","MODvalue","name_de","Guadalupe River","Guadalupe"
"Q1552614","MODvalue","name_en","Guadalupe River","Guadalupe"
"Q1552614","MODvalue","name_fr","Guadalupe River","Guadalupe"
"Q1468723","MODvalue","name_de","Nueces River","Nueces"
"Q1468723","MODvalue","name_en","Nueces River","Nueces"
"Q1468723","MODvalue","name_nl","Nueces River","Nueces"
"Q1969490","MODvalue","name_de","Trinity River","Trinity"
"Q1969490","MODvalue","name_en","Trinity River","Trinity"
"Q1969490","MODvalue","name_nl","Trinity River","Trinity"
"Q1969490","MODvalue","name_pl","Trinity River","Trinity"
"Q2041614","MODvalue","name_de","Ouachita River","Ouachita"
"Q2041614","MODvalue","name_en","Ouachita River","Ouachita"
"Q2041614","MODvalue","name_nl","Ouachita River","Ouachita"
"Q2041614","MODvalue","name_pl","Ouachita River","Ouachita"
"Q2618310","MODvalue","name_en","Saline River","Saline"
"Q964437","MODvalue","name_de","Neches River","Neches"
"Q964437","MODvalue","name_en","Neches River","Neches"
"Q964437","MODvalue","name_nl","Neches River","Neches"
"Q3433661","MODvalue","name_en","Calcasieu River","Calcasieu"
"Q4762748","MODvalue","name_en","Angelina River","Angelina"
"Q24761469","MODvalue","name_en","Petit Jean River","Petit Jean"
"Q2041614","MODvalue","name_de","Ouachita River","Ouachita"
"Q2041614","MODvalue","name_en","Ouachita River","Ouachita"
"Q2041614","MODvalue","name_nl","Ouachita River","Ouachita"
"Q2041614","MODvalue","name_pl","Ouachita River","Ouachita"
"Q6651668","MODvalue","name_en","Little River","Little"
"Q9372502","MODvalue","name_en","Wichita River","Wichita"
"Q9372502","MODvalue","name_nl","Wichita River","Wichita"
"Q9372502","MODvalue","name_en","Wichita River","Wichita"
"Q9372502","MODvalue","name_nl","Wichita River","Wichita"
"Q3256709","MODvalue","name_en","Little Osage River","Little Osage"
"Q943521","MODvalue","name_en","Verdigris River","Verdigris"
"Q943521","MODvalue","name_nl","Verdigris River","Verdigris"
"Q2215316","MODvalue","name_de","Salt Fork Arkansas River","Salt Fork Arkansas"
"Q2215316","MODvalue","name_en","Salt Fork Arkansas River","Salt Fork Arkansas"
"Q2215316","MODvalue","name_fr","Salt Fork Arkansas River","Salt Fork Arkansas"
"Q2215316","MODvalue","name_it","Salt Fork Arkansas River","Salt Fork Arkansas"
"Q2215316","MODvalue","name_nl","Salt Fork Arkansas River","Salt Fork Arkansas"
"Q1916292","MODvalue","name_de","Medicine Lodge River","Medicine Lodge"
"Q1916292","MODvalue","name_en","Medicine Lodge River","Medicine Lodge"
"Q1916292","MODvalue","name_fr","Medicine Lodge River","Medicine Lodge"
"Q1916292","MODvalue","name_nl","Medicine Lodge River","Medicine Lodge"
"Q4515856","MODvalue","name_en","Chikaskia River","Chikaskia"
"Q2618310","MODvalue","name_en","Saline River","Saline"
"Q177627","MODvalue","name_de","Smoky Hill River","Smoky Hill"
"Q177627","MODvalue","name_en","Smoky Hill River","Smoky Hill"
"Q6649195","MODvalue","name_en","Little Blue River","Little Blue"
"Q4905162","MODvalue","name_en","Big Blue River","Big Blue"
"Q2328855","MODvalue","name_en","Nazas River","Nazas"
"Q7414617","MODvalue","name_en","San Juan River","San Juan"
"Q948470","MODvalue","name_en","Baluarte River","Baluarte"
"Q3458794","MODvalue","name_en","Sinaloa River","Sinaloa"
"Q4107580","MODvalue","name_en","Verde River","Verde"
"Q2451378","MODvalue","name_en","San Pedro River","San Pedro"
"Q2451378","MODvalue","name_hu","San Pedro River","San Pedro"
"Q2451378","MODvalue","name_nl","San Pedro River","San Pedro"
"Q16899736","MODvalue","name_en","San Simon River","San Simon"
"Q2451378","MODvalue","name_en","San Pedro River","San Pedro"
"Q2451378","MODvalue","name_hu","San Pedro River","San Pedro"
"Q2451378","MODvalue","name_nl","San Pedro River","San Pedro"
"Q2343949","MODvalue","name_en","Santa Cruz River","Santa Cruz"
"Q4736170","MODvalue","name_en","Altar River","Altar"
"Q8665483","MODvalue","name_en","Black River","Black"
"Q8665483","MODvalue","name_fr","Black River","Black"
"Q4107580","MODvalue","name_en","Verde River","Verde"
"Q866712","MODvalue","name_de","Laramie River","Laramie"
"Q866712","MODvalue","name_en","Laramie River","Laramie"
"Q866712","MODvalue","name_fr","Laramie River","Laramie"
"Q866712","MODvalue","name_nl","Laramie River","Laramie"
"Q866712","MODvalue","name_sv","Laramie River","Laramie"
"Q1124558","MODvalue","name_de","Niobrara River","Niobrara"
"Q1124558","MODvalue","name_en","Niobrara River","Niobrara"
"Q1124558","MODvalue","name_nl","Niobrara River","Niobrara"
"Q2126786","MODvalue","name_de","White River","White"
"Q2126786","MODvalue","name_en","White River","White"
"Q2126786","MODvalue","name_fr","White River","White"
"Q2126786","MODvalue","name_nl","White River","White"
"Q2126786","MODvalue","name_pl","White River","White"
"Q2126786","MODvalue","name_de","White River","White"
"Q2126786","MODvalue","name_en","White River","White"
"Q2126786","MODvalue","name_fr","White River","White"
"Q2126786","MODvalue","name_nl","White River","White"
"Q2126786","MODvalue","name_pl","White River","White"
"Q1124558","MODvalue","name_de","Niobrara River","Niobrara"
"Q1124558","MODvalue","name_en","Niobrara River","Niobrara"
"Q1124558","MODvalue","name_nl","Niobrara River","Niobrara"
"Q927116","MODvalue","name_de","Little Missouri River","Little Missouri"
"Q927116","MODvalue","name_en","Little Missouri River","Little Missouri"
"Q927116","MODvalue","name_nl","Little Missouri River","Little Missouri"
"Q1367713","MODvalue","name_de","Moreau River","Moreau"
"Q1367713","MODvalue","name_en","Moreau River","Moreau"
"Q1367713","MODvalue","name_fr","Moreau River","Moreau"
"Q1367713","MODvalue","name_nl","Moreau River","Moreau"
"Q7567278","MODvalue","name_en","South Fork of the Grand River","South Fork of the Grand"
"Q7055396","MODvalue","name_en","North Fork of the Grand River","North Fork of the Grand"
"Q1033473","MODvalue","name_de","Cannonball River","Cannonball"
"Q1033473","MODvalue","name_en","Cannonball River","Cannonball"
"Q1033473","MODvalue","name_nl","Cannonball River","Cannonball"
"Q1033473","MODvalue","name_sv","Cannonball River","Cannonball"
"Q1592419","MODvalue","name_de","Heart River","Heart"
"Q1592419","MODvalue","name_en","Heart River","Heart"
"Q1592419","MODvalue","name_fr","Heart River","Heart"
"Q1592419","MODvalue","name_nl","Heart River","Heart"
"Q1592419","MODvalue","name_sv","Heart River","Heart"
"Q815836","MODvalue","name_de","Belle Fourche River","Belle Fourche"
"Q815836","MODvalue","name_en","Belle Fourche River","Belle Fourche"
"Q815836","MODvalue","name_nl","Belle Fourche River","Belle Fourche"
"Q815836","MODvalue","name_pl","Belle Fourche River","Belle Fourche"
"Q815836","MODvalue","name_sv","Belle Fourche River","Belle Fourche"
"Q927116","MODvalue","name_de","Little Missouri River","Little Missouri"
"Q927116","MODvalue","name_en","Little Missouri River","Little Missouri"
"Q927116","MODvalue","name_nl","Little Missouri River","Little Missouri"
"Q7414617","MODvalue","name_en","San Juan River","San Juan"
"Q7414617","MODvalue","name_en","San Juan River","San Juan"
"Q5055533","MODvalue","name_en","Cazones River","Cazones"
"Q6115751","MODvalue","name_en","Tecolutla River","Tecolutla"
"Q2152125","MODvalue","name_en","Jamapa River","Jamapa"
"Q476664","MODvalue","name_en","Sarabia River","Sarabia"
"Q827561","MODvalue","name_en","Ameca River","Ameca"
"Q1129218","MODvalue","name_en","Balsas River","Balsas"
"Q847785","MODvalue","name_de","Colorado River","Colorado"
"Q847785","MODvalue","name_en","Colorado River","Colorado"
"Q847785","MODvalue","name_nl","Colorado River","Colorado"
"Q2330973","MODvalue","name_en","Tehuantepec River","Tehuantepec"
"Q2330973","MODvalue","name_nl","Tehuantepec River","Tehuantepec"
"Q5351071","MODvalue","name_en","El Corte River","El Corte"
"Q1590346","MODvalue","name_en","Pasión River","Pasión"
"Q1590346","MODvalue","name_nl","Pasión River","Pasión"
"Q2332765","MODvalue","name_en","San Pedro River","San Pedro"
"Q4384912","MODvalue","name_en","Puerco River","Puerco"
"Q2615286","MODvalue","name_en","Animas River","Animas"
"Q1236386","MODvalue","name_de","Dolores River","Dolores"
"Q1236386","MODvalue","name_en","Dolores River","Dolores"
"Q4453762","MODvalue","name_en","Taylor River","Taylor"
"Q3567786","MODvalue","name_en","White River","White"
"Q3567786","MODvalue","name_fr","White River","White"
"Q2599279","MODvalue","name_de","Yampa River","Yampa"
"Q2599279","MODvalue","name_en","Yampa River","Yampa"
"Q2599279","MODvalue","name_fr","Yampa River","Yampa"
"Q2599279","MODvalue","name_nl","Yampa River","Yampa"
"Q1865825","MODvalue","name_de","Little Snake River","Little Snake"
"Q1865825","MODvalue","name_en","Little Snake River","Little Snake"
"Q1787489","MODvalue","name_de","Tongue River","Tongue"
"Q1787489","MODvalue","name_en","Tongue River","Tongue"
"Q1787489","MODvalue","name_nl","Tongue River","Tongue"
"Q1787489","MODvalue","name_pl","Tongue River","Tongue"
"Q1787489","MODvalue","name_sv","Tongue River","Tongue"
"Q1444096","MODvalue","name_de","Sweetwater River","Sweetwater"
"Q1444096","MODvalue","name_en","Sweetwater River","Sweetwater"
"Q1444096","MODvalue","name_nl","Sweetwater River","Sweetwater"
"Q1444096","MODvalue","name_pl","Sweetwater River","Sweetwater"
"Q1444096","MODvalue","name_sv","Sweetwater River","Sweetwater"
"Q1444096","NEWvalue","name_zh","","甘霖河"
"Q4148407","MODvalue","name_en","Greybull River","Greybull"
"Q14687265","MODvalue","name_en","Pahsimeroi River","Pahsimeroi"
"Q1262279","MODvalue","name_de","Sevier River","Sevier"
"Q1262279","MODvalue","name_en","Sevier River","Sevier"
"Q1262279","MODvalue","name_nl","Sevier River","Sevier"
"Q1130341","MODvalue","name_de","Fremont River","Fremont"
"Q1130341","MODvalue","name_en","Fremont River","Fremont"
"Q1130341","MODvalue","name_nl","Fremont River","Fremont"
"Q14711868","MODvalue","name_en","San Pitch River","San Pitch"
"Q1676970","MODvalue","name_de","Virgin River","Virgin"
"Q1676970","MODvalue","name_en","Virgin River","Virgin"
"Q1676970","MODvalue","name_it","Virgin River","Virgin"
"Q1676970","MODvalue","name_nl","Virgin River","Virgin"
"Q2126786","MODvalue","name_de","White River","White"
"Q2126786","MODvalue","name_en","White River","White"
"Q2126786","MODvalue","name_fr","White River","White"
"Q2126786","MODvalue","name_nl","White River","White"
"Q2126786","MODvalue","name_pl","White River","White"
"Q891080","MODvalue","name_de","Boise River","Boise"
"Q891080","MODvalue","name_en","Boise River","Boise"
"Q891080","MODvalue","name_nl","Boise River","Boise"
"Q4086416","MODvalue","name_en","Big Wood River","Big Wood"
"Q4905972","MODvalue","name_en","Big Lost River","Big Lost"
"Q2926582","MODvalue","name_en","Bruneau River","Bruneau"
"Q2042749","MODvalue","name_de","Owyhee River","Owyhee"
"Q2042749","MODvalue","name_en","Owyhee River","Owyhee"
"Q2042749","MODvalue","name_nl","Owyhee River","Owyhee"
"Q7272287","MODvalue","name_en","Quinn River","Quinn"
"Q594295","MODvalue","name_de","Malheur River","Malheur"
"Q594295","MODvalue","name_en","Malheur River","Malheur"
"Q1126662","MODvalue","name_de","Kern River","Kern"
"Q1126662","MODvalue","name_en","Kern River","Kern"
"Q1126662","MODvalue","name_fr","Kern River","Kern"
"Q1126662","MODvalue","name_nl","Kern River","Kern"
"Q1264687","MODvalue","name_de","Kings River","Kings"
"Q1264687","MODvalue","name_en","Kings River","Kings"
"Q1264687","MODvalue","name_nl","Kings River","Kings"
"Q1807419","MODvalue","name_de","Tuolumne River","Tuolumne"
"Q1807419","MODvalue","name_en","Tuolumne River","Tuolumne"
"Q1470035","MODvalue","name_de","Merced River","Merced"
"Q1470035","MODvalue","name_en","Merced River","Merced"
"Q1470035","MODvalue","name_nl","Merced River","Merced"
"Q1470035","NEWvalue","name_pl","","Merced"
"Q2319307","MODvalue","name_en","Owens River","Owens"
"Q2319307","NEWvalue","name_it","","Owens"
"Q2319307","MODvalue","name_nl","Owens River","Owens"
"Q7055372","MODvalue","name_en","North Fork American River","North Fork American"
"Q14683517","MODvalue","name_en","North Yuba River","North Yuba"
"Q14683506","NEWvalue","name_de","","North Fork Eel"
"Q14683506","MODvalue","name_en","North Fork Eel River","North Fork Eel"
"Q2030974","MODvalue","name_de","Russian River","Russian"
"Q2030974","MODvalue","name_en","Russian River","Russian"
"Q2030974","MODvalue","name_fr","Russian River","Russian"
"Q2030974","MODvalue","name_nl","Russian River","Russian"
"Q2030974","MODvalue","name_pl","Russian River","Russian"
"Q1969490","MODvalue","name_de","Trinity River","Trinity"
"Q1969490","MODvalue","name_en","Trinity River","Trinity"
"Q1969490","MODvalue","name_nl","Trinity River","Trinity"
"Q1969490","MODvalue","name_pl","Trinity River","Trinity"
"Q3506776","MODvalue","name_en","Sycan River","Sycan"
"Q2581283","MODvalue","name_de","Williamson River","Williamson"
"Q2581283","MODvalue","name_en","Williamson River","Williamson"
"Q2581283","MODvalue","name_nl","Williamson River","Williamson"
"Q535450","MODvalue","name_de","Crooked River","Crooked"
"Q535450","MODvalue","name_en","Crooked River","Crooked"
"Q535450","MODvalue","name_nl","Crooked River","Crooked"
"Q7304926","MODvalue","name_en","Red Rock River","Red Rock"
"Q7304926","MODvalue","name_nl","Red Rock River","Red Rock"
"Q1099574","MODvalue","name_de","Clearwater River","Clearwater"
"Q1099574","MODvalue","name_en","Clearwater River","Clearwater"
"Q1099574","MODvalue","name_nl","Clearwater River","Clearwater"
"Q1099574","MODvalue","name_sv","Clearwater River","Clearwater"
"Q3115025","MODvalue","name_en","Grande Ronde River","Grande Ronde"
"Q6665167","MODvalue","name_en","Lochsa River","Lochsa"
"Q334812","MODvalue","name_en","Bitterroot River","Bitterroot"
"Q1099574","MODvalue","name_de","Clearwater River","Clearwater"
"Q1099574","MODvalue","name_en","Clearwater River","Clearwater"
"Q1099574","MODvalue","name_nl","Clearwater River","Clearwater"
"Q1099574","MODvalue","name_sv","Clearwater River","Clearwater"
"Q7448888","MODvalue","name_en","Selway River","Selway"
"Q858903","MODvalue","name_de","Big Hole River","Big Hole"
"Q858903","MODvalue","name_en","Big Hole River","Big Hole"
"Q858903","MODvalue","name_fr","Big Hole River","Big Hole"
"Q858903","MODvalue","name_nl","Big Hole River","Big Hole"
"Q1440192","MODvalue","name_de","Fox River","Fox"
"Q1440192","MODvalue","name_en","Fox River","Fox"
"Q8637","MODvalue","name_de","Des Plaines River","Des Plaines"
"Q8637","MODvalue","name_en","Des Plaines River","Des Plaines"
"Q8637","MODvalue","name_nl","Des Plaines River","Des Plaines"
"Q6749927","MODvalue","name_de","Manistee River","Manistee"
"Q6749927","MODvalue","name_en","Manistee River","Manistee"
"Q6749927","MODvalue","name_nl","Manistee River","Manistee"
"Q4818973","MODvalue","name_de","Au Sable River","Au Sable"
"Q4818973","MODvalue","name_en","Au Sable River","Au Sable"
"Q1136667","MODvalue","name_de","Tippecanoe River","Tippecanoe"
"Q1136667","MODvalue","name_en","Tippecanoe River","Tippecanoe"
"Q1136667","MODvalue","name_nl","Tippecanoe River","Tippecanoe"
"Q282052","MODvalue","name_de","Maumee River","Maumee"
"Q282052","MODvalue","name_en","Maumee River","Maumee"
"Q282052","MODvalue","name_nl","Maumee River","Maumee"
"Q282052","MODvalue","name_pl","Maumee River","Maumee"
"Q615010","MODvalue","name_de","Kalamazoo River","Kalamazoo"
"Q615010","MODvalue","name_en","Kalamazoo River","Kalamazoo"
"Q615010","MODvalue","name_nl","Kalamazoo River","Kalamazoo"
"Q3433802","MODvalue","name_de","St. Joseph River","St. Joseph"
